"fecha"	"cnt"
"2012-01-05"	"32"
"2012-01-06"	"36"
"2012-01-07"	"27"
"2012-01-08"	"32"
"2012-01-09"	"20"
"2012-01-10"	"38"
"2012-01-11"	"30"
"2012-01-12"	"25"
"2012-01-13"	"35"
"2012-01-14"	"31"
"2012-01-15"	"55"
"2012-01-16"	"37"
"2012-01-17"	"33"
"2012-01-18"	"28"
"2012-01-19"	"37"
"2012-01-20"	"56"
"2012-01-21"	"29"
"2012-01-22"	"33"
"2012-01-23"	"24"
"2012-01-24"	"20"
"2012-01-25"	"35"
"2012-01-26"	"31"
"2012-01-27"	"38"
"2012-01-28"	"32"
"2012-01-29"	"38"
"2012-01-30"	"29"
"2012-01-31"	"25"
"2012-02-01"	"73"
"2012-02-02"	"44"
"2012-02-03"	"29"
"2012-02-04"	"26"
"2012-02-05"	"44"
"2012-02-06"	"32"
"2012-02-07"	"25"
"2012-02-08"	"27"
"2012-02-09"	"28"
"2012-02-10"	"47"
"2012-02-11"	"30"
"2012-02-12"	"36"
"2012-02-13"	"41"
"2012-02-14"	"30"
"2012-02-15"	"62"
"2012-02-16"	"36"
"2012-02-17"	"31"
"2012-02-18"	"31"
"2012-02-19"	"32"
"2012-02-20"	"31"
"2012-02-21"	"29"
"2012-02-22"	"35"
"2012-02-23"	"26"
"2012-02-24"	"33"
"2012-02-25"	"33"
"2012-02-26"	"33"
"2012-02-27"	"32"
"2012-02-28"	"27"
"2012-02-29"	"38"
"2012-03-01"	"85"
"2012-03-02"	"38"
"2012-03-03"	"34"
"2012-03-04"	"36"
"2012-03-05"	"31"
"2012-03-06"	"27"
"2012-03-07"	"35"
"2012-03-08"	"40"
"2012-03-09"	"31"
"2012-03-10"	"33"
"2012-03-11"	"39"
"2012-03-12"	"30"
"2012-03-13"	"35"
"2012-03-14"	"29"
"2012-03-15"	"41"
"2012-03-16"	"31"
"2012-03-17"	"27"
"2012-03-18"	"29"
"2012-03-19"	"25"
"2012-03-20"	"34"
"2012-03-21"	"27"
"2012-03-22"	"27"
"2012-03-23"	"38"
"2012-03-24"	"26"
"2012-03-25"	"28"
"2012-03-26"	"42"
"2012-03-27"	"22"
